District,Sector,Top 1 Crop,Top 2 Crop,Top 3 Crop,Top 4 Crop,Top 5 Crop
Nyarugenge,Gitega,Coffee,Avocado,Tea,French beans,Beans
Nyarugenge,Kanyinya,Coffee,Tea,Watermelon,French beans,Beans
Nyarugenge,Kigali,Avocado,Coffee,Tea,French beans,Beans
Nyarugenge,Kimisagara,Coffee,Tea,Avocado,French beans,Beans
Nyarugenge,Mageregere,Coffee,Tea,Watermelon,French beans,Beans
Nyarugenge,Muhima,Coffee,Tea,Avocado,French beans,Beans
Nyarugenge,Nyakabanda,Coffee,Tea,Avocado,French beans,Beans
Nyarugenge,Nyamirambo,Coffee,Tea,Avocado,French beans,Beans
Nyarugenge,Nyarugenge,Coffee,Tea,Avocado,French beans,Beans
Nyarugenge,Rwezamenyo,Coffee,Tea,Avocado,French beans,Beans
Gasabo,Bumbogo,Coffee,Tea,Watermelon,French beans,Beans
Gasabo,Gatsata,Coffee,Avocado,Tea,French beans,Beans
Gasabo,Gikomero,Coffee,Tea,Avocado,French beans,Beans
Gasabo,Gisozi,Coffee,Tea,Avocado,French beans,Beans
Gasabo,Jabana,Coffee,Tea,Avocado,French beans,Beans
Gasabo,Jali,Coffee,Tea,Watermelon,French beans,Beans
Gasabo,Kacyiru,Coffee,Tea,Avocado,French beans,Beans
Gasabo,Kimihurura,Coffee,Tea,Avocado,French beans,Beans
Gasabo,Kimironko,Coffee,Avocado,Tea,French beans,Beans
Gasabo,Kinyinya,Coffee,Avocado,Tea,French beans,Beans
Gasabo,Ndera,Avocado,Coffee,Tea,French beans,Beans
Gasabo,Nduba,Coffee,Tea,Watermelon,French beans,Beans
Gasabo,Remera,Coffee,Avocado,Tea,French beans,Beans
Gasabo,Rusororo,Avocado,Coffee,Tea,French beans,Beans
Gasabo,Rutunga,Coffee,Tea,Watermelon,French beans,Beans
Kicukiro,Gahanga,Coffee,Tea,Avocado,French beans,Beans
Kicukiro,Gatenga,Coffee,Tea,Watermelon,French beans,Beans
Kicukiro,Gikondo,Coffee,Tea,Avocado,French beans,Beans
Kicukiro,Kagarama,Coffee,Avocado,Tea,French beans,Beans
Kicukiro,Kanombe,Coffee,Tea,Avocado,French beans,Beans
Kicukiro,Kicukiro,Coffee,Avocado,Tea,French beans,Beans
Kicukiro,Kigarama,Coffee,Tea,Avocado,French beans,Beans
Kicukiro,Masaka,Coffee,Avocado,Tea,French beans,Beans
Kicukiro,Niboye,Coffee,Tea,Avocado,French beans,Beans
Kicukiro,Nyarugunga,Coffee,Avocado,Tea,French beans,Beans
Nyanza,Busasamana,Coffee,Tea,Watermelon,French beans,Beans
Nyanza,Busoro,Avocado,Coffee,Tea,French beans,Beans
Nyanza,Cyabakamyi,Coffee,Tea,Watermelon,French beans,Beans
Nyanza,Kibilizi,Coffee,Tea,Avocado,French beans,Beans
Nyanza,Kigoma,Coffee,Tea,Avocado,French beans,Beans
Nyanza,Mukingo,Coffee,Tea,Watermelon,French beans,Beans
Nyanza,Muyira,Coffee,Avocado,Tea,French beans,Beans
Nyanza,Ntyazo,Coffee,Tea,Avocado,French beans,Beans
Nyanza,Nyagisozi,Coffee,Tea,Watermelon,French beans,Beans
Nyanza,Rwabicuma,Coffee,Tea,Watermelon,French beans,Beans
Gisagara,Gikonko,Coffee,Avocado,Tea,French beans,Beans
Gisagara,Gishubi,Coffee,Avocado,Tea,French beans,Beans
Gisagara,Kansi,Coffee,Tea,Avocado,French beans,Beans
Gisagara,Kibirizi,Coffee,Tea,Avocado,French beans,Beans
Gisagara,Kigembe,Coffee,Tea,Avocado,French beans,Beans
Gisagara,Mamba,Avocado,Coffee,Tea,French beans,Beans
Gisagara,Muganza,Coffee,Tea,Avocado,French beans,Beans
Gisagara,Mugombwa,Coffee,Tea,Avocado,French beans,Beans
