District,Sector,Top 1 Crop,Top 2 Crop,Top 3 Crop,Top 4 Crop,Top 5 Crop
Nyarugenge,Gitega,Coffee,Tomato,Spinach,Avocado,Potato
Nyarugenge,Kanyinya,Coffee,Spinach,Tomato,Avocado,Potato
Nyarugenge,Kigali,Tomato,Avocado,Coffee,Spinach,Mango
Nyarugenge,Kimisagara,Coffee,Tomato,Spinach,Avocado,Potato
Nyarugenge,Mageregere,Coffee,Tomato,Spinach,Avocado,Mango
Nyarugenge,Muhima,Tomato,Spinach,Mango,Cabbage,Tea
Nyarugenge,Nyakabanda,Tomato,Spinach,Mango,Avocado,Coffee
Nyarugenge,Nyamirambo,Tomato,Spinach,Avocado,Mango,Cabbage
Nyarugenge,Nyarugenge,Tomato,Spinach,Avocado,Mango,Watermelon
Nyarugenge,Rwezamenyo,Tomato,Spinach,Avocado,Mango,Bell peppers
Gasabo,Bumbogo,Spinach,Tomato,Avocado,Mango,Cabbage
Gasabo,Gatsata,Tomato,Spinach,Mango,Cabbage,Tea
Gasabo,Gikomero,Tomato,Spinach,Mango,Cabbage,Tea
Gasabo,Gisozi,Tomato,Spinach,Mango,Cabbage,Tea
Gasabo,Jabana,Tomato,Spinach,Mango,Cabbage,Tea
Gasabo,Jali,Spinach,Tomato,Mango,Tea,Cabbage
Gasabo,Kacyiru,Tomato,Spinach,Coffee,Mango,Avocado
Gasabo,Kimihurura,Coffee,Tomato,Avocado,Spinach,Mango
Gasabo,Kimironko,Coffee,Tomato,Avocado,Spinach,Mango
Gasabo,Kinyinya,Tomato,Spinach,Avocado,Mango,Cabbage
Gasabo,Ndera,Avocado,Tomato,Spinach,Mango,Cabbage
Gasabo,Nduba,Coffee,Tomato,Avocado,Mango,Potato
Gasabo,Remera,Tomato,Mango,Spinach,Cabbage,Tea
Gasabo,Rusororo,Tomato,Avocado,Spinach,Mango,Cabbage
Gasabo,Rutunga,Tomato,Mango,Avocado,Potato,Cabbage
Kicukiro,Gahanga,Tomato,Mango,Cabbage,Avocado,Beans
Kicukiro,Gatenga,Tomato,Mango,Avocado,Cabbage,Beans
Kicukiro,Gikondo,Tomato,Avocado,Mango,Coffee,Cabbage
Kicukiro,Kagarama,Coffee,Tomato,Avocado,Mango,Potato
Kicukiro,Kanombe,Coffee,Tomato,Avocado,Mango,Cabbage
Kicukiro,Kicukiro,Coffee,Tomato,Avocado,Mango,Potato
Kicukiro,Kigarama,Coffee,Tomato,Avocado,Mango,Potato
Kicukiro,Masaka,Coffee,Tomato,Avocado,Mango,Potato
Kicukiro,Niboye,Coffee,Tomato,Avocado,Mango,Potato
Kicukiro,Nyarugunga,Tomato,Mango,Cabbage,Avocado,Tea
Nyanza,Busasamana,Tomato,Avocado,Mango,Cabbage,Tea
Nyanza,Busoro,Tomato,Avocado,Mango,Cabbage,Tea
Nyanza,Cyabakamyi,Tomato,Mango,Tea,Cabbage,Coffee
Nyanza,Kibilizi,Tomato,Avocado,Mango,Cabbage,Bell peppers
Nyanza,Kigoma,Coffee,Tomato,Avocado,Potato,Mango
Nyanza,Mukingo,Onion dry,Tomato,Mango,Maize,Cabbage
Nyanza,Muyira,Coffee,Tomato,Avocado,Potato,Mango
Nyanza,Ntyazo,Coffee,Tomato,Avocado,Mango,Potato
Nyanza,Nyagisozi,Tomato,Mango,Tea,Cabbage,Avocado
Nyanza,Rwabicuma,Tomato,Mango,Cabbage,Tea,Avocado
Gisagara,Gikonko,Tomato,Avocado,Mango,Cabbage,Onion dry
Gisagara,Gishubi,Tomato,Avocado,Mango,Cabbage,Squash
Gisagara,Kansi,Tomato,Mango,Cabbage,Tea,Avocado
Gisagara,Kibirizi,Tomato,Mango,Cabbage,Tea,Avocado
Gisagara,Kigembe,Tomato,Mango,Cabbage,Tea,Avocado
Gisagara,Mamba,Tomato,Mango,Avocado,Cabbage,Squash
Gisagara,Muganza,Coffee,Tomato,Avocado,Mango,Cabbage
