District,Sector,Top 1 Crop,Top 2 Crop,Top 3 Crop,Top 4 Crop,Top 5 Crop
Nyarugenge,Gitega,Spinach,Avocado,Tomato,Coffee,Mango
Nyarugenge,Kanyinya,Spinach,Tomato,Coffee,Avocado,Tea
Nyarugenge,Kigali,Spinach,Avocado,French beans,Tomato,Eggplant
Nyarugenge,Kimisagara,Spinach,Coffee,Tomato,Avocado,Tea
Nyarugenge,Mageregere,Spinach,Tomato,Avocado,Coffee,Tea
Nyarugenge,Muhima,Spinach,Mango,Tomato,Tea,Onion dry
Nyarugenge,Nyakabanda,Spinach,Tomato,Mango,French beans,Tea
Nyarugenge,Nyamirambo,Spinach,Tomato,Avocado,French beans,Mango
Nyarugenge,Nyarugenge,Spinach,French beans,Tomato,Avocado,Mango
Nyarugenge,Rwezamenyo,Spinach,Tomato,Avocado,Coffee,Mango
Gasabo,Bumbogo,Spinach,Coffee,Tea,Tomato,Avocado
Gasabo,Gatsata,Mango,Spinach,Tomato,Onion dry,Tea
Gasabo,Gikomero,Spinach,Tomato,Mango,Tea,Onion dry
Gasabo,Gisozi,Mango,Spinach,Tomato,Tea,Onion dry
Gasabo,Jabana,Spinach,Mango,Tomato,Tea,Onion dry
Gasabo,Jali,Spinach,Tea,Mango,Tomato,Cabbage
Gasabo,Kacyiru,Spinach,Tomato,Tea,Coffee,Mango
Gasabo,Kimihurura,Coffee,Tomato,Avocado,Tea,Mango
Gasabo,Kimironko,Coffee,Tomato,Avocado,Tea,Mango
Gasabo,Kinyinya,Avocado,Tomato,Celery,Mango,Beans
Gasabo,Ndera,Avocado,Tomato,Mango,Spinach,Cabbage
Gasabo,Nduba,Coffee,Tea,Tomato,Avocado,Mango
Gasabo,Remera,Mango,Tomato,Tea,Cabbage,Onion dry
Gasabo,Rusororo,Tomato,Mango,Cabbage,Avocado,Tea
Gasabo,Rutunga,Tomato,Avocado,Mango,French beans,Potato
Kicukiro,Gahanga,Tomato,Mango,Cabbage,Tea,Avocado
Kicukiro,Gatenga,Tomato,Mango,Tea,Cabbage,French beans
Kicukiro,Gikondo,Tomato,Avocado,Mango,French beans,Cabbage
Kicukiro,Kagarama,Coffee,Tomato,Tea,Mango,Avocado
Kicukiro,Kanombe,Coffee,Tea,Tomato,Mango,Avocado
Kicukiro,Kicukiro,Coffee,Tea,Tomato,Mango,Avocado
Kicukiro,Kigarama,Coffee,Tea,Tomato,Mango,Avocado
Kicukiro,Masaka,Coffee,Tea,Tomato,Avocado,Mango
Kicukiro,Niboye,Coffee,Tomato,Tea,Avocado,Mango
Kicukiro,Nyarugunga,Mango,Tomato,Tea,Cabbage,Onion dry
Nyanza,Busasamana,Coffee,Tea,Tomato,Avocado,Cabbage
Nyanza,Busoro,Tomato,Mango,Tea,Cabbage,Avocado
Nyanza,Cyabakamyi,Tea,Tomato,Mango,Coffee,Cabbage
Nyanza,Kibilizi,Coffee,Avocado,Tea,Tomato,Mango
Nyanza,Kigoma,Coffee,Avocado,Tomato,Tea,Cabbage
Nyanza,Mukingo,Onion dry,Tomato,Tea,Mango,Maize
Nyanza,Muyira,Avocado,Tomato,Coffee,Tea,Mango
Nyanza,Ntyazo,Coffee,Tea,Tomato,Avocado,Mango
Nyanza,Nyagisozi,Tea,Tomato,Mango,Cabbage,Onion dry
Nyanza,Rwabicuma,Tea,Tomato,Mango,Cabbage,Onion dry
Gisagara,Gikonko,Avocado,Coffee,Tomato,Tea,Mango
