District,Sector,Top 1 Crop,Top 2 Crop,Top 3 Crop,Top 4 Crop,Top 5 Crop,,,,,,
Nyarugenge,Gitega,Avocado,Coffee,French beans,Mango,Bell peppers,,,,,,
Nyarugenge,Kanyinya,Coffee,Avocado,French beans,Celery,Eggplant,,,,,,
Nyarugenge,Kigali,Avocado,French beans,Coffee,Mango,Bell peppers,,,,,,
Nyarugenge,Kimisagara,Coffee,Avocado,French beans,Mango,Bell peppers,,,,,,
Nyarugenge,Mageregere,Coffee,French beans,Avocado,Mango,Celery,,,,,,
Nyarugenge,Muhima,Avocado,French beans,Coffee,Mango,Celery,,,,,,Avocado
Nyarugenge,Nyakabanda,French beans,Avocado,Coffee,Mango,Celery,,,,,,Celery
Nyarugenge,Nyamirambo,French beans,Avocado,Coffee,Mango,Celery,,,,,,Coffee
Nyarugenge,Nyarugenge,French beans,Avocado,Coffee,Mango,Celery,,,,,,French beans
Nyarugenge,Rwezamenyo,Avocado,French beans,Coffee,Mango,Celery,,,,,,Maize
Gasabo,Bumbogo,French beans,Coffee,Avocado,Celery,Mango,,,,,,Mango
Gasabo,Gatsata,Avocado,French beans,Coffee,Mango,Maize,,,,,,Potato
Gasabo,Gikomero,French beans,Avocado,Coffee,Mango,Celery,,,,,,Pumpkin
Gasabo,Gisozi,French beans,Avocado,Mango,Coffee,Maize,,,,,,Bell peppers
Gasabo,Jabana,French beans,Avocado,Mango,Coffee,Maize,,,,,,Eggplant
Gasabo,Jali,French beans,Coffee,Potato,Celery,Maize,,,,,,Watermelon
Gasabo,Kacyiru,Coffee,Avocado,French beans,Mango,Bell peppers,,,,,,Tomato
Gasabo,Kimihurura,Avocado,Coffee,French beans,Mango,Bell peppers,,,,,,
Gasabo,Kimironko,Avocado,Coffee,French beans,Mango,Bell peppers,,,,,,
Gasabo,Kinyinya,Avocado,French beans,Mango,Coffee,Celery,,,,,,
Gasabo,Ndera,Avocado,French beans,Mango,Coffee,Celery,,,,,,
Gasabo,Nduba,Coffee,Avocado,French beans,Mango,Celery,,,,,,
Gasabo,Remera,Avocado,French beans,Coffee,Mango,Bell peppers,,,,,,
Gasabo,Rusororo,Avocado,French beans,Mango,Coffee,Celery,,,,,,
Gasabo,Rutunga,French beans,Coffee,Avocado,Celery,Eggplant,,,,,,
Kicukiro,Gahanga,French beans,Avocado,Mango,Coffee,Celery,,,,,,
Kicukiro,Gatenga,French beans,Avocado,Coffee,Mango,Celery,,,,,,
Kicukiro,Gikondo,Avocado,French beans,Coffee,Mango,Bell peppers,,,,,,
Kicukiro,Kagarama,Coffee,Avocado,French beans,Mango,Bell peppers,,,,,,
Kicukiro,Kanombe,Coffee,Avocado,French beans,Mango,Bell peppers,,,,,,
Kicukiro,Kicukiro,Coffee,Avocado,Mango,French beans,Bell peppers,,,,,,
Kicukiro,Kigarama,Coffee,Avocado,French beans,Mango,Celery,,,,,,
Kicukiro,Masaka,Avocado,Coffee,French beans,Mango,Bell peppers,,,,,,
Kicukiro,Niboye,Coffee,Avocado,French beans,Mango,Bell peppers,,,,,,
Kicukiro,Nyarugunga,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Nyanza,Busasamana,French beans,Coffee,Avocado,Celery,Mango,,,,,,
Nyanza,Busoro,Avocado,French beans,Mango,Maize,Celery,,,,,,
Nyanza,Cyabakamyi,Coffee,French beans,Avocado,Mango,Celery,,,,,,
Nyanza,Kibilizi,Avocado,French beans,Coffee,Mango,Celery,,,,,,
Nyanza,Kigoma,Avocado,Coffee,French beans,Mango,Celery,,,,,,
