Crop,Crop type,Altitude (masl),temperature (C) ,pH,Soil type,N,P,K,Crop water need (mm/total growing period),Humidity(%),Season A start(month),Season A end,Season B start(month),Season B end(month)
Mango,Fruit,959.2094768005538,20.88963592438497,6.3729154749429515," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,888.3163144261509,61.50757727826725,9,12-2,2,5-7
Mango,Fruit,1060.528788987061,23.603724230541154,6.78436928009789," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,676.7403211007228,67.86785667396707,9,12-2,2,5-7
Mango,Fruit,991.4984496922368,22.30521345248237,6.08922880737731," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,934.6407093240674,60.80905440310352,9,12-2,2,5-7
Mango,Fruit,861.5967254745967,25.73093569468629,6.046811604193397," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1089.5754704021792,62.72963026387877,9,12-2,2,5-7
Mango,Fruit,840.170799693848,23.636504595545823,6.201731819222719," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,875.711340698947,69.45438226651792,9,12-2,2,5-7
Mango,Fruit,1013.4431009550183,24.43801242269108,6.812400809413856," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,866.3896772662697,64.28105002182377,9,12-2,2,5-7
Mango,Fruit,1352.3300477017867,24.048350951096435,6.301101057620994," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,624.1131666562776,67.56251652338605,9,12-2,2,5-7
Mango,Fruit,1319.9576665164836,20.519532918022854,6.448758576366601," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,621.3349996332894,73.94884528648154,9,12-2,2,5-7
Mango,Fruit,890.422486286823,25.712784045486785,6.560480862723433," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1192.3550435673765,66.38422743193256,9,12-2,2,5-7
Mango,Fruit,1278.9621234011674,23.78321313490553,6.777019859683907," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,667.6415098178991,73.30432360254204,9,12-2,2,5-7
Mango,Fruit,1084.8475803142123,24.48988361620745,6.864031826343198," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,833.7120505396233,70.18591959421022,9,12-2,2,5-7
Mango,Fruit,979.8170946434726,23.51313135936212,6.173327815313238," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1184.614673851083,67.93138867801741,9,12-2,2,5-7
Mango,Fruit,886.1689035829897,24.09893245772546,6.697911581513152," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,713.6047388801499,61.7460280715686,9,12-2,2,5-7
Mango,Fruit,1327.5384555551773,21.68752479215728,6.563387869296696," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1137.0230763664745,66.2329964146596,9,12-2,2,5-7
Mango,Fruit,1122.08332767003,25.20990843877912,6.109639403044971," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,843.3218420212052,69.06330555078607,9,12-2,2,5-7
Mango,Fruit,1292.9347998293333,24.506512691976425,6.82414267726658," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,651.3333588033228,66.77758217693435,9,12-2,2,5-7
Mango,Fruit,1355.1483933517338,21.777094282976247,6.665656771264309," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1174.1343867473342,72.75462391101063,9,12-2,2,5-7
Mango,Fruit,682.5107501725147,20.682951497709844,6.360966178767742," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1074.9062800394875,79.99215490751617,9,12-2,2,5-7
Mango,Fruit,1367.5361456164037,23.625383550932177,6.848918737409177," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1171.8062131314869,63.23404268252193,9,12-2,2,5-7
Mango,Fruit,1189.134535757697,24.391923223820562,6.620743785061648," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,996.1289950109156,78.3140894937793,9,12-2,2,5-7
Mango,Fruit,744.3862279828018,23.781816454400797,6.4453808208583885," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,754.613552412462,66.3516271316833,9,12-2,2,5-7
Mango,Fruit,1357.8711374116438,22.969618660759295,6.192644777023567," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1018.3066669143495,78.58891888017808,9,12-2,2,5-7
Mango,Fruit,1202.9697759022783,21.721137097527205,6.189326472081435," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1045.5337412571275,64.34598761289526,9,12-2,2,5-7
Mango,Fruit,1081.931128788998,21.15882294728486,6.890311817898247," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,933.2425626251176,76.2436526547155,9,12-2,2,5-7
Mango,Fruit,1284.3658053259414,21.43080235713455,6.765825861520941," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,954.9477976485435,71.80609534434163,9,12-2,2,5-7
Mango,Fruit,1091.772625928842,25.64787791524231,6.400159768282625," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,867.145699191243,76.05299718178262,9,12-2,2,5-7
Mango,Fruit,1032.1151418426684,24.098816321037454,6.839437369819585," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,779.5600573676562,63.02752792409394,9,12-2,2,5-7
Mango,Fruit,1328.1334915195512,25.591697249865383,6.24472958789641," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,626.1734828387748,78.79518491866065,9,12-2,2,5-7
Mango,Fruit,930.2711138260111,22.369870858930373,6.030993276895482," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1177.1608992374813,68.74992048192446,9,12-2,2,5-7
Mango,Fruit,1361.0492960893066,21.953812260066123,6.888141258115308," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1101.9916076882837,67.94894443532368,9,12-2,2,5-7
Mango,Fruit,1178.5082077447528,22.630714641484563,6.653803898756107," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,748.9256042101733,61.76064140111634,9,12-2,2,5-7
Mango,Fruit,1286.4673979349832,23.20026615986687,6.205616615542171," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,761.085204358031,73.53650885937117,9,12-2,2,5-7
Mango,Fruit,975.6487619076914,21.397351679258755,6.6107843153453265," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,792.9082073010512,64.57161147427986,9,12-2,2,5-7
Mango,Fruit,703.4908529106609,20.93432742406357,6.1505433541645935," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,706.8232071222498,72.69383173773727,9,12-2,2,5-7
Mango,Fruit,1333.0185762324707,23.787992856997167,6.263903224332536," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,698.9526994351481,71.15497249082665,9,12-2,2,5-7
Mango,Fruit,923.1195709018668,20.04248636590692,6.203629641074326," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,942.0696671230886,67.24110267729523,9,12-2,2,5-7
Mango,Fruit,1051.7983955751092,25.408907980952318,6.587245443890491," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1094.6094988662448,64.91567789734289,9,12-2,2,5-7
Mango,Fruit,924.7419552560244,23.54313337190245,6.980732604065446," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,898.3837845530742,65.92646894309792,9,12-2,2,5-7
Mango,Fruit,1030.4583603861533,20.53699255375641,6.371000744859681," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,872.6289462198517,71.20624137512607,9,12-2,2,5-7
Mango,Fruit,1389.694314299928,24.535536950416315,6.865670975575166," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1171.5186965130906,67.18068119982826,9,12-2,2,5-7
Mango,Fruit,948.1879124663883,25.747653241636385,6.165220582228774," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1173.3144912960197,60.71160804097034,9,12-2,2,5-7
Mango,Fruit,866.002396596644,24.65428901086255,6.276015851927087," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,606.9478331062227,63.25169953374636,9,12-2,2,5-7
Mango,Fruit,1317.4363527329406,23.61069791422166,6.180781950920847," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,706.9667719649839,67.13841639638909,9,12-2,2,5-7
Mango,Fruit,981.0876326505058,23.272888191712834,6.250850036344924," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1065.892218659727,79.694941390317,9,12-2,2,5-7
Mango,Fruit,1229.079309007912,25.979455361711754,6.494598742420374," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,797.288429159668,66.00823839841058,9,12-2,2,5-7
Mango,Fruit,957.2832553331768,22.517175583474817,6.54507585845918," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,609.0323830869961,79.47619916331678,9,12-2,2,5-7
Mango,Fruit,863.531477090633,20.9381942435535,6.470874719470172," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,642.9822444127398,61.12611846160496,9,12-2,2,5-7
Mango,Fruit,791.9729220334108,25.47857149229037,6.091009851609788," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1113.9010503406755,72.45932910005067,9,12-2,2,5-7
Mango,Fruit,1065.0504373404895,25.839122804175933,6.510214141248876," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,881.1157347453687,60.66034432269462,9,12-2,2,5-7
Mango,Fruit,1086.2278372059855,25.72806485489824,6.69462742702829," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,858.0916975745863,74.10562881121074,9,12-2,2,5-7
Mango,Fruit,799.5533103775549,22.911950662982342,6.14450315780822," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,978.3832497010308,79.13537281437726,9,12-2,2,5-7
Mango,Fruit,1051.5114268563852,22.476632023710046,6.456432570168266," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,978.6942926585032,60.58357509535354,9,12-2,2,5-7
Mango,Fruit,1227.3879124053774,22.648262384868094,6.109160060280923," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,879.6529436078198,76.78443980397401,9,12-2,2,5-7
Mango,Fruit,879.2527499326254,25.682019317033383,6.570472623601314," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,898.4040188988463,64.26768515719934,9,12-2,2,5-7
Mango,Fruit,1109.3404535978495,24.81479622657786,6.679222971103347," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1033.48599057188,63.16807944302381,9,12-2,2,5-7
Mango,Fruit,802.4091991231696,24.291935564984072,6.596502503217343," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,763.1987086602854,67.33332849829817,9,12-2,2,5-7
Mango,Fruit,1146.782266048854,23.23696714227309,6.993823358361246," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1121.5974177668018,73.03191791787997,9,12-2,2,5-7
Mango,Fruit,1121.4751492653177,23.11432308348096,6.750162810609475," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,643.1439337196105,63.46738104615231,9,12-2,2,5-7
Mango,Fruit,986.7202987528506,22.77172177534863,6.282360483954711," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,752.2463249816958,76.96136837452579,9,12-2,2,5-7
Mango,Fruit,1277.462437162792,21.197092377499015,6.359127954807894," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1081.651079860023,65.43161769130282,9,12-2,2,5-7
Mango,Fruit,900.1378582448324,25.137358105484022,6.728301057789157," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,646.3820603697769,60.11123148401456,9,12-2,2,5-7
Mango,Fruit,964.1626557586253,25.674970427328084,6.81439046038251," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,775.6537377242607,78.74534373818814,9,12-2,2,5-7
Mango,Fruit,864.1551020217775,20.227029364663245,6.425561085768047," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1169.8738772353124,74.7183569232432,9,12-2,2,5-7
Mango,Fruit,1370.6388518161957,22.30950774723218,6.799938754454115," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,991.8011282807628,71.67115167510296,9,12-2,2,5-7
Mango,Fruit,830.2927454525939,23.42760973091,6.719527575241874," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1158.7255916149186,64.25205302089849,9,12-2,2,5-7
Mango,Fruit,1073.934902522149,20.59142355245279,6.726849641489106," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,947.9395710792371,61.158809590231456,9,12-2,2,5-7
Mango,Fruit,1320.8519617709987,20.659274337901028,6.672885931688929," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1097.4861803957288,69.96423100365993,9,12-2,2,5-7
Mango,Fruit,900.7570867536441,21.465573545310317,6.541937943458817," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,643.8988510344377,63.68773357492849,9,12-2,2,5-7
Mango,Fruit,1181.7424934987598,20.920312709861367,6.68857768284384," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,722.6954196776574,74.6627747871274,9,12-2,2,5-7
Mango,Fruit,1334.9803386121548,21.228841435442398,6.835634916421298," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,791.3802311709323,70.31516928744162,9,12-2,2,5-7
Mango,Fruit,852.4108444523692,24.592864174414927,6.950056553703526," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,846.7955167817556,67.50904769081835,9,12-2,2,5-7
Mango,Fruit,1158.8811452513664,25.386377472313953,6.550440151537441," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,763.1865790150022,79.10449634271272,9,12-2,2,5-7
Mango,Fruit,862.3590127459873,21.760088568149218,6.297589640764754," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,715.9263442587758,68.11973206776088,9,12-2,2,5-7
Mango,Fruit,1161.095502506374,25.11703629714334,6.782023148180613," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,873.8762472057126,61.395421602758745,9,12-2,2,5-7
Mango,Fruit,1237.552480612841,24.843902873412947,6.263957787853972," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,643.8231099851083,73.40249011023079,9,12-2,2,5-7
Mango,Fruit,716.1841904825642,25.30184149721978,6.308481484907025," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,818.2946140652682,69.98965645506753,9,12-2,2,5-7
Mango,Fruit,1258.819152515734,20.442498027041765,6.26810745862471," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,655.9989782589109,60.811743195572525,9,12-2,2,5-7
Mango,Fruit,859.979258288542,23.758821191110904,6.003521848253677," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1184.7366459786926,65.93118646136249,9,12-2,2,5-7
Mango,Fruit,1019.341707954832,24.73465817150938,6.37814082360549," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,936.0763793426329,79.63255591490052,9,12-2,2,5-7
Mango,Fruit,873.1856199999639,23.11121680716503,6.98537605005829," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,660.2448345642931,75.08342685576194,9,12-2,2,5-7
Mango,Fruit,1023.7941162791254,23.606601416211202,6.546910538817224," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,988.3726917348788,61.168877219446145,9,12-2,2,5-7
Mango,Fruit,848.5184039732227,21.374318499647867,6.654785969051132," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1158.1201074083056,66.37797537987619,9,12-2,2,5-7
Mango,Fruit,1097.1829399824692,24.171749075619836,6.331855230586726," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,837.7653601849315,77.5953822674517,9,12-2,2,5-7
Mango,Fruit,938.1028478253968,20.975406841770276,6.491969236765872," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,613.5566008863602,61.70147397580428,9,12-2,2,5-7
Mango,Fruit,764.0637589149097,25.706290538401838,6.937153354741117," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1098.8274776500807,62.518150593978746,9,12-2,2,5-7
Mango,Fruit,1180.5231163185265,21.594972961201385,6.4700857129852185," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1081.9003239811577,67.71078924536963,9,12-2,2,5-7
Mango,Fruit,733.3389051044292,21.21338721672671,6.021618395814698," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,856.258642425784,73.9866789918833,9,12-2,2,5-7
Mango,Fruit,1162.993027567759,20.117563378128484,6.237235328929428," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1032.9066001031917,75.56799955914815,9,12-2,2,5-7
Mango,Fruit,696.4037897278757,22.503076233492656,6.68175314428734," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1020.4893348133436,70.63321535160543,9,12-2,2,5-7
Mango,Fruit,684.6671760300703,23.760773364319796,6.804081928830711," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1184.836233063831,72.44255494379776,9,12-2,2,5-7
Mango,Fruit,1215.8951337522901,23.720564842353525,6.385055087343916," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,779.3462021869598,65.41208305483981,9,12-2,2,5-7
Mango,Fruit,906.2074046521136,25.460103122904975,6.132148999176123," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,721.7413851784454,77.60251165854665,9,12-2,2,5-7
Mango,Fruit,1134.7834411028166,22.406241692857634,6.516598373936058," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,1135.312075089465,60.79333921912375,9,12-2,2,5-7
Mango,Fruit,951.6817477713548,22.903017228701852,6.669186237607516," well-draining, sandy loam, loamy soil",100.0,25.0,110.0,626.178636995233,73.03456688826968,9,12-2,2,5-7
